Sample_Id	Participant_Id	Host body habitat [UBERON_0000466]	Host body product [UBERON_0000463]	Host body site [UBERON_0000061]	Region of 16S rRNA sequenced [SO_0001000]	Sample type [OBI_0100051]	Sequencing center [OBI_0001891]
1927.SRS011157.SRX020659.SRR045036	700014956 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011157.SRX020661.SRR044808	700014956 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011159.SRX020663.SRR045145	700014968 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011159.SRX020667.SRR045224	700014968 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011161.SRX020659.SRR045028	700014973 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011161.SRX020661.SRR044801	700014973 (Source)	Oral cavity	Saliva	Tongue	V1-V3	Oral swab	WUGSC
1927.SRS011163.SRX020537.SRR045380	700014976 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011163.SRX020570.SRR045452	700014976 (Source)	Oral cavity	Saliva	Hard palate	V1-V3	Oral swab	WUGSC
1927.SRS011165.SRX020659.SRR045005	700014979 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011165.SRX020661.SRR044777	700014979 (Source)	Oral cavity	Saliva	Buccal mucosa	V1-V3	Oral swab	WUGSC
1927.SRS011167.SRX020659.SRR045052	700014982 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011167.SRX020661.SRR044828	700014982 (Source)	Oral cavity	Saliva	Gingiva	V1-V3	Oral swab	WUGSC
1927.SRS011169.SRX020663.SRR045141	700014985 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011169.SRX020667.SRR045220	700014985 (Source)	Oral cavity	Saliva	Palatine tonsil	V1-V3	Oral swab	WUGSC
1927.SRS011171.SRX020515.SRR045363	700014988 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011171.SRX020537.SRR045382	700014988 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011171.SRX020570.SRR047528	700014988 (Source)	Oral cavity	Mucus	Throat	V1-V3	Oral swab	WUGSC
1927.SRS011173.SRX020659.SRR045043	700014991 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011173.SRX020661.SRR044818	700014991 (Source)	Oral cavity	Supragingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011175.SRX020659.SRR044992	700014994 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011175.SRX020661.SRR044766	700014994 (Source)	Oral cavity	Subgingival dental plaque	Tooth	V1-V3	Oral swab	WUGSC
1927.SRS011177.SRX020659.SRR045018	700014997 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011177.SRX020661.SRR047461	700014997 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011179.SRX020515.SRR045376	700015000 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011179.SRX020537.SRR045397	700015000 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011179.SRX020570.SRR045464	700015000 (Source)	Skin	Sebum	External ear	V1-V3	Skin swab	WUGSC
1927.SRS011180.SRX020537.SRR045391	700015003 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011180.SRX020570.SRR045459	700015003 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011181.SRX020537.SRR045389	700015006 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011181.SRX020570.SRR045457	700015006 (Source)	Skin	Sebum	Skin of elbow	V1-V3	Skin swab	WUGSC
1927.SRS011182.SRX020537.SRR045378	700015009 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011182.SRX020570.SRR045449	700015009 (Source)	Skin	Sebum	Anterior nares	V1-V3	Skin swab	WUGSC
1927.SRS011271.SRX020659.SRR045051	700015250 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011271.SRX020661.SRR044827	700015250 (Source)	Colon	Feces	Colon	V1-V3	Stool	WUGSC
1927.SRS011273.SRX020659.SRR045049	700015260 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
1927.SRS011273.SRX020661.SRR044825	700015260 (Source)	Oral cavity	Saliva	Mouth	V1-V3	Oral swab	WUGSC
